cliente;proyecto;espacio en disco;tamaño de disco;region AWS
espn;micrositio;0;150GB;No entry dicionary;/var/sites/tray02/projects/espn-ve-micrositio
adidas;lollapalooza2012;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-cl-lollapalooza2012
adidas;tabmiciudadbsas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-tabmiciudadbsas
3m;unitekapp;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/3m-co-unitekapp
beldent;subifoto2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-subifoto2013
irsa;navidadaltopalermo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/irsa-ar-navidadaltopalermo
lactacyd;site;0;150GB;No entry dicionary;/var/sites/tray02/projects/lactacyd-cl-site
emimusic;tabpromocional2;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/emimusic-co-tabpromocional2
mastercard;tarjetapromo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-mx-tarjetapromo
adidas;originals;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-originals
pureit;crm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pureit-mx-crm
adidas;tutrapo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-tutrapo
emimusic;promo16milfans;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/emimusic-co-promo16milfans
eltiempo;jjoo;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/eltiempo-co-jjoo
mastercard;pricelessfbtab;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/mastercard-mx-pricelessfbtab
halls;smm;0;150GB;No entry dicionary;/var/sites/tray02/projects/halls-cl-smm
adidas;tabneoelanzamiento;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-ec-tabneoelanzamiento
